Plan Type,County,Health Plan Name,Health Plan Offered Telehealth,Telehealth Website Website ,Telehealth Services Phone Number,Health Plan Nurse Advice Line,Special Note,Internal Note
Medi-Cal Managed Care,Sacramento,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,San Benito,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,San Benito,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,San Benito,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Medi-Cal Managed Care,San Benito,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Medi-Cal Managed Care,San Bernardino,Inland Empire Health Plan,No,https://www.iehp.org/,,1-888-244-4347   TTY 1-866-577-8355,,
Commercial,San Bernardino,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,San Bernardino,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,San Bernardino,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Medicare Advantage,San Bernardino,Blue Shield of California Promise Health Plan,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362, 1-800-609-4166,Blue Shield of California Promise Health Plan members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,San Bernardino,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,San Bernardino,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2378,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,San Bernardino,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,San Bernardino,Molina Healthcare of California,Yes,https://www.molinahealthcare.com/members/oh/en-US/hp/medicaid/overvw/coverd/Pages/virtual-care.aspx,1-800-835-2362,1-888-275-8750 for English speakers   TTY 711; 1-866-648-3537 for Spanish speakers   TTY 711,Molina Healthcare members must complete the online registration process or download the Teledoc app and complete the registration process.,Awaiting new Telehealth link from Molina
Medi-Cal Managed Care,San Bernardino,Molina Healthcare of California Partner Plan,Yes,https://www.molinahealthcare.com/members/oh/en-US/hp/medicaid/overvw/coverd/Pages/virtual-care.aspx,1-800-835-2362,1-888-275-8750 for English speakers   TTY 711; 1-866-648-3537 for Spanish speakers   TTY 711,Molina Healthcare members must complete the online registration process or download the Teledoc app and complete the registration process.,Awaiting new Telehealth link from Molina
Medicare Advantage,San Bernardino,SCAN Health Plan,Yes,https://www.scanhealthplan.com/supplemental-benefits/telehealth-benefit,1-888-993-4087,Not applicable,"SCAN Health Plan strongly encourages members to first reach out to their primary care physician or care team. Many doctors are now doing appointments by phone. For urgent or after-hours care needs, visit the website or call 1-888-993-4087 to access telehealth through the MD Live service.",
Commercial,San Bernardino,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Medi-Cal Managed Care,San Diego,Community Health Group,No,https://www.chgsd.com/,,1-800-647-6966,,
Commercial,San Diego,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Medi-Cal Managed Care,San Diego,Aetna Better Health of California Inc.,No,https://www.aetnabetterhealth.com/california/,,1-855-772-9076,,
Commercial,San Diego,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,San Diego,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
MediConnect,San Diego,Blue Shield of California Promise Health Plan,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362, 1-800-609-4166,Blue Shield of California Promise Health Plan members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,San Diego,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,San Diego,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2379,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,San Diego,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Medi-Cal Managed Care,San Diego,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,San Diego,Molina Healthcare of California,Yes,https://www.molinahealthcare.com/members/oh/en-US/hp/medicaid/overvw/coverd/Pages/virtual-care.aspx,1-800-835-2362,1-888-275-8750 for English speakers   TTY 711; 1-866-648-3537 for Spanish speakers   TTY 711,Molina Healthcare members must complete the online registration process or download the Teledoc app and complete the registration process.,Awaiting new Telehealth link from Molina
Medicare Advantage,San Diego,SCAN Health Plan,Yes,https://www.scanhealthplan.com/supplemental-benefits/telehealth-benefit,1-888-993-4087,Not applicable,"SCAN Health Plan strongly encourages members to first reach out to their primary care physician or care team. Many doctors are now doing appointments by phone. For urgent or after-hours care needs, visit the website or call 1-888-993-4087 to access telehealth through the MD Live service.",
Commercial,San Diego,Scripps Health Plan,Yes,https://www.scripps.org/virtual-care,Not applicable,Not applicable,"Scripps Health Plan encourages members to call 1-888-261-8431 if they have a fever and/or respiratory symptoms before coming in, or explore their virtual care options, including Symptom Checker. ",
Commercial,San Diego,Sharp Health Plan,No,https://www.sharphealthplan.com/members/get-care/video-and-phone-visits,,1-800-359-2002 ,Sharp Health Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Commercial,San Diego,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Medi-Cal Managed Care,San Diego,UnitedHealthcare Community Plan of California,No,https://www.uhc.com/health-and-wellness/health-topics/covid-19/telehealth-options,,1-866-270-5785,UnitedHealthcare members can access telehealth services by signing in to their health plan account.,Need to verify if UHC websites are also applicable for Medi-Cal members. 
Medi-Cal Managed Care,San Diego,"Health Net Community Solutions, Inc.",No,https://www.healthnet.com/,,1-800-893-5597   TTY 711,Health Net Community Solutions encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,San Francisco,San Francisco Health Plan,Yes,https://member.teladoc.com/sfhp,1-800-835-2362,Not available,San Francisco Health Plan members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,San Francisco,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,San Francisco,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,San Francisco,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,San Francisco,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,San Francisco,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2380,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,San Francisco,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,San Francisco,Oscar Health Plan,Yes,https://www.hioscar.com/doctor-on-call,Not applicable,1-855-672-2788,"Most Oscar Health Plan members can request a consultation from Doctor on Call through their Oscar account. Members enrolled in HSA-compatible HDHP plans can access telehealth via the Teladoc service (instructions for this are also available on Oscar’s website, mobile app, or by calling the Concierge service center). ",
Medicare Advantage,San Francisco,SCAN Health Plan,Yes,https://www.scanhealthplan.com/supplemental-benefits/telehealth-benefit,1-888-993-4087,Not applicable,"SCAN Health Plan strongly encourages members to first reach out to their primary care physician or care team. Many doctors are now doing appointments by phone. For urgent or after-hours care needs, visit the website or call 1-888-993-4087 to access telehealth through the MD Live service.",
Commercial,San Francisco,Sutter Health Plan,Yes,https://www.sutterhealth.org/myhealthonline/video-visits,Not applicable,1-855-836-3500,Sutter Health Plan members can schedule video visits by either logging onto the My Health Online website or calling-1-800-972-5547.,
Commercial,San Francisco,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Medi-Cal Managed Care,San Francisco,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,San Francisco,Chinese Community Health Plan,No,https://www.cchphealthplan.com/,,1-888-243-8310,Chinese Community Health Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,San Joaquin,Health Plan of San Joaquin,No,https://www.hpsj.com/,,1-800-655-8294,,
Commercial,San Joaquin,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,San Joaquin,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,San Joaquin,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Medicare Advantage,San Joaquin,Blue Shield of California Promise Health Plan,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362, 1-800-609-4166,Blue Shield of California Promise Health Plan members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,San Joaquin,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,San Joaquin,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2381,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,San Joaquin,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,San Joaquin,Sutter Health Plan,Yes,https://www.sutterhealth.org/myhealthonline/video-visits,Not applicable,1-855-836-3500,Sutter Health Plan members can schedule video visits by either logging onto the My Health Online website or calling-1-800-972-5547.,
Commercial,San Joaquin,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Medi-Cal Managed Care,San Joaquin,"Health Net Community Solutions, Inc.",No,https://www.healthnet.com/,,1-800-893-5597   TTY 711,Health Net Community Solutions encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,San Luis Obispo,CenCal Health,No,https://www.cencalhealth.org/,,1-800-524-5222   TTY 711 or TTY at 1-833-556-2560,,
Commercial,San Luis Obispo,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,San Luis Obispo,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,San Luis Obispo,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,San Luis Obispo,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,San Luis Obispo,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Medi-Cal Managed Care,San Mateo,Health Plan of San Mateo,No,https://www.hpsm.org/,,1-833-846-8773,,
Commercial,San Mateo,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,San Mateo,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,San Mateo,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,San Mateo,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,San Mateo,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2382,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,San Mateo,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,San Mateo,Sutter Health Plan,Yes,https://www.sutterhealth.org/myhealthonline/video-visits,Not applicable,1-855-836-3500,Sutter Health Plan members can schedule video visits by either logging onto the My Health Online website or calling-1-800-972-5547.,
Commercial,San Mateo,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Commercial,San Mateo,Chinese Community Health Plan,No,https://www.cchphealthplan.com/,,1-888-243-8310,Chinese Community Health Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Santa Barbara,CenCal Health,No,https://www.cencalhealth.org/,,1-800-524-5222   TTY 711 or TTY at 1-833-556-2560,,
Commercial,Santa Barbara,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Santa Barbara,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Santa Barbara,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Santa Barbara,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Santa Barbara,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2383,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Santa Barbara,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Medi-Cal Managed Care,Santa Clara,Santa Clara Family Health Plan,No,https://www.scfhp.com/,,1-877-509-0294 for Medi-Cal members; 1-844-803-6962 for Cal MediConnect members,,
Commercial,Santa Clara,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Santa Clara,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Santa Clara,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Medicare Advantage,Santa Clara,Blue Shield of California Promise Health Plan,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362, 1-800-609-4166,Blue Shield of California Promise Health Plan members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Santa Clara,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Santa Clara,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2384,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Santa Clara,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Medicare Advantage,Santa Clara,SCAN Health Plan,Yes,https://www.scanhealthplan.com/supplemental-benefits/telehealth-benefit,1-888-993-4087,Not applicable,"SCAN Health Plan strongly encourages members to first reach out to their primary care physician or care team. Many doctors are now doing appointments by phone. For urgent or after-hours care needs, visit the website or call 1-888-993-4087 to access telehealth through the MD Live service.",
Commercial,Santa Clara,Sutter Health Plan,Yes,https://www.sutterhealth.org/myhealthonline/video-visits,Not applicable,1-855-836-3500,Sutter Health Plan members can schedule video visits by either logging onto the My Health Online website or calling-1-800-972-5547.,
Commercial,Santa Clara,UnitedHealthcare,Yes,https://www.uhc.com/health-and-wellness/health-topics/covid-19/telehealth-options,Not applicable,Not applicable,UnitedHealthcare members can access telehealth services by signing in to their health plan account.,
Commercial,Santa Clara,Valley Health Plan,Yes,https://www.mdlive.com/VHP,1-888-467-4614,"1-866-682-9492 for Valley Health Plan coverage through an employer or job; 1-855-348-9119 for Valley Health Plan coverage through Covered California; 1-877-509-0294 for Valley Health Plan coverage through Medi-Cal.
","Valley Health Plan only offers its MD Live telehealth service to members that receive coverage through their employer or job, or members that signed up through Covered California. Valley Health Plan encourages its Medi-Cal members to check with their medical provider or care team to see if phone or video visits are an option for their visit. ",
Medi-Cal Managed Care,Santa Clara,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Medi-Cal Managed Care,Santa Cruz,Central California Alliance for Health,No,http://www.ccah-alliance.org/,,1-844-971-8907   TTY 711,,
Commercial,Santa Cruz,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Santa Cruz,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Santa Cruz,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Santa Cruz,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Santa Cruz,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2385,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Santa Cruz,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,Santa Cruz,Sutter Health Plan,Yes,https://www.sutterhealth.org/myhealthonline/video-visits,Not applicable,1-855-836-3501,Sutter Health Plan members can schedule video visits by either logging onto the My Health Online website or calling-1-800-972-5547.,
Commercial,Santa Cruz,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Medi-Cal Managed Care,Shasta,Partnership Health Plan of California,No,http://www.partnershiphp.org/Pages/PHC.aspx,,1-866-778-8873,"Kaiser Members: Members assigned to Kaiser should use the Kaiser Advice Nurse Program. For More information about the Kaiser Advice Nurse program, please call the Kaiser Phone number on you Kaiser ID card.
",
Commercial,Shasta,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Shasta,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Shasta,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Sierra,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Sierra,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Sierra,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Medi-Cal Managed Care,Sierra,California Health and Wellness Plan,No,https://www.cahealthwellness.com/,,1-877-658-0305   TTY 711,California Health and Wellness Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Sierra,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Medi-Cal Managed Care,Siskiyou,Partnership Health Plan of California,No,http://www.partnershiphp.org/Pages/PHC.aspx,,1-866-778-8873,"Kaiser Members: Members assigned to Kaiser should use the Kaiser Advice Nurse Program. For More information about the Kaiser Advice Nurse program, please call the Kaiser Phone number on you Kaiser ID card.
",
Commercial,Siskiyou,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Siskiyou,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Siskiyou,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Medi-Cal Managed Care,Solano,Partnership Health Plan of California,No,http://www.partnershiphp.org/Pages/PHC.aspx,,1-866-778-8873,"Kaiser Members: Members assigned to Kaiser should use the Kaiser Advice Nurse Program. For More information about the Kaiser Advice Nurse program, please call the Kaiser Phone number on you Kaiser ID card.
",
Commercial,Solano,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Solano,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Solano,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Solano,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Solano,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2386,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Solano,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,Solano,Sutter Health Plan,Yes,https://www.sutterhealth.org/myhealthonline/video-visits,Not applicable,1-855-836-3500,Sutter Health Plan members can schedule video visits by either logging onto the My Health Online website or calling-1-800-972-5547.,
Commercial,Solano,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
